Schlüsselnummer;Kreis/Landkreis;Insgesamt;Männlich;Weiblich
9778;Unterallgäu;140 419;70 572;69 847
9779;Donau-Ries;131 345;66 381;64 964
9780;Oberallgäu;152 672;75 342;77 330
10041;Regionalverband Saarbrücken;327 380;160 361;167 019
10042;Merzig-Wadern;103 997;51 531;52 466
10043;Neunkirchen;133 735;65 647;68 088
10044;Saarlouis;197 009;96 613;100 396
10045;Saarpfalz-Kreis;144 584;70 455;74 129
10046;St. Wendel;88 892;44 024;44 868
11000;Berlin, Stadt;3 520 031;1 726 533;1 793 498
12051;Brandenburg an der Havel, Stadt;71 574;35 323;36 251
12052;Cottbus, Stadt;99 687;49 100;50 587
12053;Frankfurt (Oder), Stadt;58 092;27 989;30 103
12054;Potsdam, Stadt;167 745;80 854;86 891
12060;Barnim;177 411;87 997;89 414
12061;Dahme-Spreewald;164 528;81 587;82 941
12062;Elbe-Elster;104 673;51 820;52 853
12063;Havelland;158 236;78 316;79 920
12064;Märkisch-Oderland;190 714;94 906;95 808
12065;Oberhavel;207 524;102 478;105 046
12066;Oberspreewald-Lausitz;112 450;55 287;57 163
12067;Oder-Spree;182 397;90 953;91 444
12068;Ostprignitz-Ruppin;99 110;49 332;49 778
12069;Potsdam-Mittelmark;210 910;104 720;106 190
12070;Prignitz;77 573;38 556;39 017
12071;Spree-Neiße;117 635;58 059;59 576
12072;Teltow-Fläming;163 553;81 514;82 039
12073;Uckermark;121 014;59 492;61 522
13003;Rostock;206 011;101 078;104 933
13004;Schwerin;96 800;47 028;49 772
13071;Mecklenburgische Seenplatte;262 517;129 182;133 335
13072;Landkreis Rostock;213 473;106 674;106 799
13073;Vorpommern-Rügen;224 820;110 885;113 935
13074;Nordwestmecklenburg;156 270;77 871;78 399
13075;Vorpommern-Greifswald;238 358;117 353;121 005
13076;Ludwigslust-Parchim;214 113;107 761;106 352
14511;Chemnitz, Stadt;248 645;122 748;125 897
14521;Erzgebirgskreis;347 665;170 364;177 301
14522;Mittelsachsen;312 450;155 084;157 366
14523;Vogtlandkreis;232 318;113 174;119 144
14524;Zwickau;324 534;158 067;166 467
14612;Dresden, Stadt;543 825;270 410;273 415
14625;Bautzen;306 273;151 349;154 924
14626;Görlitz;260 000;127 325;132 675
14627;Meißen;245 244;121 132;124 112
14628;Sächsische Schweiz-Osterzgebirge;247 412;122 565;124 847
14713;Leipzig, Stadt;560 472;274 414;286 058
14729;Leipzig;258 408;126 877;131 531
14730;Nordsachsen;197 605;98 052;99 553
15001;Dessau-Roßlau, Stadt;82 919;40 311;42 608
15002;Halle (Saale), Stadt;236 991;114 581;122 410
15003;Magdeburg, Landeshauptstadt;235 723;115 810;119 913
15081;Altmarkkreis Salzwedel;86 164;43 104;43 060
15082;Anhalt-Bitterfeld;164 817;80 940;83 877
15083;Börde;173 473;86 819;86 654
15084;Burgenlandkreis;184 081;91 276;92 805
15085;Harz;221 366;109 026;112 340
15086;Jerichower Land;91 693;45 870;45 823
15087;Mansfeld-Südharz;141 408;69 831;71 577
15088;Saalekreis;186 431;92 339;94 092
15089;Salzlandkreis;196 695;96 161;100 534
15090;Stendal;115 262;57 194;58 068
15091;Wittenberg;128 447;63 427;65 020
16051;Erfurt, Stadt;210 118;102 259;107 859
16052;Gera, Stadt;96 011;46 414;49 597
16053;Jena, Stadt;109 527;54 467;55 060
16054;Suhl, Stadt;36 778;18 071;18 707
16055;Weimar, Stadt;64 131;31 002;33 129
16056;Eisenach, Stadt;42 417;20 810;21 607
16061;Eichsfeld;101 325;50 927;50 398
16062;Nordhausen;85 355;42 292;43 063
16063;Wartburgkreis;125 655;62 914;62 741
16064;Unstrut-Hainich-Kreis;105 273;52 367;52 906
16065;Kyffhäuserkreis;77 110;38 432;38 678
16066;Schmalkalden-Meiningen;124 623;62 268;62 355
16067;Gotha;136 831;68 341;68 490
16068;Sömmerda;70 600;35 274;35 326
16069;Hildburghausen;64 524;32 271;32 253
16070;Ilm-Kreis;109 620;55 077;54 543
16071;Weimarer Land;82 127;40 784;41 343
16072;Sonneberg;56 818;27 912;28 906
16073;Saalfeld-Rudolstadt;109 278;53 769;55 509
16074;Saale-Holzland-Kreis;86 184;43 322;42 862
16075;Saale-Orla-Kreis;82 951;41 022;41 929
16076;Greiz;101 114;49 814;51 300
16077;Altenburger Land;92 344;45 330;47 014
